geometry,area_m2,count,label,mean_elev,mean_ndvi
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-60.33555989132746, -9.906756521292259], [-60.32657673848627, -9.906756521292259], [-60.32657673848627, -9.897773368451062], [-60.33555989132746, -9.897773368451062], [-60.33555989132746, -9.906756521292259]]]}",982901.361226837,1,1,207.8267716535433,0.3684426769967517
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-60.10199791745639, -0.7619069289555327], [-60.09301476461519, -0.7619069289555327], [-60.09301476461519, -0.7529237761143364], [-60.084031611773995, -0.7529237761143364], [-60.084031611773995, -0.74394062327314], [-60.11098107029758, -0.74394062327314], [-60.11098107029758, -0.7529237761143364], [-60.10199791745639, -0.7529237761143364], [-60.10199791745639, -0.7619069289555327]]]}",3990715.5658775736,4,1,202.6830225711482,0.28660716993306057
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-60.084031611773995, -0.74394062327314], [-60.0750484589328, -0.74394062327314], [-60.0750484589328, -0.7349574704319508], [-60.084031611773995, -0.7349574704319508], [-60.084031611773995, -0.74394062327314]]]}",997682.4519094648,1,1,217.5196850393701,0.37884361142588135
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-59.29351416174882, -6.771636179715138], [-59.28453100890762, -6.771636179715138], [-59.28453100890762, -6.7626530268739415], [-59.29351416174882, -6.7626530268739415], [-59.29351416174882, -6.771636179715138]]]}",990814.3534054995,1,1,198.8543307086614,0.27167380014444326
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.97012065946579, -9.807941840039113], [-58.961137506624596, -9.807941840039113], [-58.961137506624596, -9.798958687197917], [-58.97012065946579, -9.798958687197917], [-58.97012065946579, -9.807941840039113]]]}",983195.8198444078,1,1,227.96850393700788,0.5101989773149594
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.961137506624596, -9.798958687197917], [-58.9521543537834, -9.798958687197917], [-58.9521543537834, -9.78997553435672], [-58.961137506624596, -9.78997553435672], [-58.961137506624596, -9.798958687197917]]]}",983222.4438122085,1,1,233.46456692913387,0.4671980657243918
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.889272283895025, -9.924722826974651], [-58.88028913105383, -9.924722826974651], [-58.88028913105383, -9.915739674133455], [-58.889272283895025, -9.915739674133455], [-58.889272283895025, -9.924722826974651]]]}",982847.509172722,1,1,233.6771653543307,0.5211561184239292
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.664693462865145, -9.81692499288031], [-58.65571031002395, -9.81692499288031], [-58.65571031002395, -9.807941840039113], [-58.664693462865145, -9.807941840039113], [-58.664693462865145, -9.81692499288031]]]}",983169.1717083718,1,1,264.7992125984252,0.48251469102134975
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.64672715718275, -9.825908145721506], [-58.637744004341556, -9.825908145721506], [-58.637744004341556, -9.807941840039113], [-58.64672715718275, -9.807941840039113], [-58.64672715718275, -9.825908145721506]]]}",1966311.6711178196,2,1,252.21456692913387,0.3572404813544094
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.637744004341556, -9.75404292299195], [-58.62876085150036, -9.75404292299195], [-58.62876085150036, -9.745059770150753], [-58.637744004341556, -9.745059770150753], [-58.637744004341556, -9.75404292299195]]]}",983355.2010927255,1,1,266.1850393700787,0.3268355973236329
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.574861934453196, -9.906756521292259], [-58.565878781612, -9.906756521292259], [-58.565878781612, -9.897773368451062], [-58.574861934453196, -9.897773368451062], [-58.574861934453196, -9.906756521292259]]]}",982901.3612266835,1,1,264.77952755905505,0.3192420761644608
"{""geodesic"": false, ""type"": ""Polygon"", ""coordinates"": [[[-58.58384508729439, -9.134205376949474], [-58.565878781612, -9.134205376949474], [-58.565878781612, -9.125222224108278], [-58.58384508729439, -9.125222224108278], [-58.58384508729439, -9.134205376949474]]]}",1970251.019387679,2,1,217.86247544204323,0.38075966249829984
